notification_date,postcode,likely_source_of_infection,lhd_2010_code,lhd_2010_name,lga_code19,lga_name19
2020-01-22,2134,Overseas,X700,Sydney,11300,Burwood (A)
2020-01-24,2121,Overseas,X760,Northern Sydney,16260,Parramatta (C)
2020-01-25,2071,Overseas,X760,Northern Sydney,14500,Ku-ring-gai (A)
2020-01-25,2033,Overseas,X720,South Eastern Sydney,16550,Randwick (C)
2020-01-30,2350,Overseas,X800,Hunter New England,10130,Armidale Regional (A)
2020-02-21,2010,Overseas,X720,South Eastern Sydney,17200,Sydney (C)
2020-02-26,2073,Locally acquired - source not identified,X760,Northern Sydney,14500,Ku-ring-gai (A)
2020-02-27,2070,Overseas,X760,Northern Sydney,14500,Ku-ring-gai (A)
2020-02-28,2750,Locally acquired - contact of a confirmed case and/or in a known cluster,X750,Nepean Blue Mountains,16350,Penrith (C)
2020-02-29,2077,Overseas,X760,Northern Sydney,14000,Hornsby (A)
2020-03-01,2163,Overseas,X710,South Western Sydney,12850,Fairfield (C)
2020-03-01,2022,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-01,2163,Locally acquired - contact of a confirmed case and/or in a known cluster,X710,South Western Sydney,12850,Fairfield (C)
2020-03-02,2217,Overseas,X720,South Eastern Sydney,10500,Bayside (A)
2020-03-02,2077,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,14000,Hornsby (A)
2020-03-03,2090,Overseas,X760,Northern Sydney,15950,North Sydney (A)
2020-03-03,2200,Overseas,X710,South Western Sydney,11570,Canterbury-Bankstown (A)
2020-03-03,2158,Overseas,X760,Northern Sydney,17420,The Hills Shire (A)
2020-03-03,2196,Overseas,X700,Sydney,11570,Canterbury-Bankstown (A)
2020-03-03,2153,Overseas,X740,Western Sydney,17420,The Hills Shire (A)
2020-03-03,2232,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-03,2122,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,16700,Ryde (C)
2020-03-04,2113,Overseas,X760,Northern Sydney,16700,Ryde (C)
2020-03-04,2042,Locally acquired - contact of a confirmed case and/or in a known cluster,X700,Sydney,17200,Sydney (C)
2020-03-04,2113,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,16700,Ryde (C)
2020-03-04,2113,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,16700,Ryde (C)
2020-03-04,2087,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-04,2113,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,16700,Ryde (C)
2020-03-04,2113,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,16700,Ryde (C)
2020-03-04,2749,Locally acquired - contact of a confirmed case and/or in a known cluster,X750,Nepean Blue Mountains,16350,Penrith (C)
2020-03-05,2127,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,16260,Parramatta (C)
2020-03-05,2076,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,14500,Ku-ring-gai (A)
2020-03-05,2011,Overseas,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-05,2144,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,12380,Cumberland (A)
2020-03-05,2040,Locally acquired - contact of a confirmed case and/or in a known cluster,X700,Sydney,14170,Inner West (A)
